,LocationType,Location,TimeFrame,DataFormat,Data
29,County,Adams,2008,Number,114.0
31,County,Adams,2009,Number,71.0
32,County,Adams,2010,Number,59.0
33,County,Adams,2011,Number,92.0
34,County,Adams,2012,Number,109.0
36,County,Adams,2013,Number,101.0
38,County,Adams,2014,Number,119.0
40,County,Adams,2016,Number,114.0
42,County,Adams,2015,Number,99.0
44,County,Adams,2017,Number,122.0
52,County,Allen,2008,Number,235.0
54,County,Allen,2009,Number,200.0
55,County,Allen,2010,Number,183.0
56,County,Allen,2011,Number,181.0
57,County,Allen,2012,Number,159.0
59,County,Allen,2013,Number,147.0
61,County,Allen,2014,Number,151.0
63,County,Allen,2016,Number,199.0
65,County,Allen,2015,Number,166.0
67,County,Allen,2017,Number,148.0
75,County,Ashland,2008,Number,106.0
77,County,Ashland,2009,Number,113.0
78,County,Ashland,2010,Number,130.0
79,County,Ashland,2011,Number,135.0
80,County,Ashland,2012,Number,129.0
82,County,Ashland,2013,Number,132.0
84,County,Ashland,2014,Number,109.0
86,County,Ashland,2016,Number,131.0
88,County,Ashland,2015,Number,125.0
90,County,Ashland,2017,Number,152.0
98,County,Ashtabula,2008,Number,199.0
100,County,Ashtabula,2009,Number,185.0
101,County,Ashtabula,2010,Number,188.0
102,County,Ashtabula,2011,Number,224.0
103,County,Ashtabula,2012,Number,242.0
105,County,Ashtabula,2013,Number,267.0
107,County,Ashtabula,2014,Number,254.0
109,County,Ashtabula,2016,Number,361.0
111,County,Ashtabula,2015,Number,256.0
113,County,Ashtabula,2017,Number,421.0
121,County,Athens,2008,Number,180.0
123,County,Athens,2009,Number,156.0
124,County,Athens,2010,Number,179.0
125,County,Athens,2011,Number,125.0
126,County,Athens,2012,Number,129.0
128,County,Athens,2013,Number,122.0
130,County,Athens,2014,Number,137.0
132,County,Athens,2016,Number,178.0
134,County,Athens,2015,Number,145.0
136,County,Athens,2017,Number,181.0
144,County,Auglaize,2008,Number,16.0
146,County,Auglaize,2009,Number,9.0
147,County,Auglaize,2010,Number,12.0
148,County,Auglaize,2011,Number,15.0
149,County,Auglaize,2012,Number,23.0
151,County,Auglaize,2013,Number,17.0
153,County,Auglaize,2014,Number,21.0
155,County,Auglaize,2016,Number,12.0
157,County,Auglaize,2015,Number,17.0
159,County,Auglaize,2017,Number,17.0
167,County,Belmont,2008,Number,94.0
169,County,Belmont,2009,Number,87.0
170,County,Belmont,2010,Number,87.0
171,County,Belmont,2011,Number,91.0
172,County,Belmont,2012,Number,72.0
174,County,Belmont,2013,Number,77.0
176,County,Belmont,2014,Number,92.0
178,County,Belmont,2016,Number,84.0
180,County,Belmont,2015,Number,90.0
182,County,Belmont,2017,Number,66.0
190,County,Brown,2008,Number,125.0
192,County,Brown,2009,Number,96.0
193,County,Brown,2010,Number,93.0
194,County,Brown,2011,Number,99.0
195,County,Brown,2012,Number,144.0
197,County,Brown,2013,Number,177.0
199,County,Brown,2014,Number,154.0
201,County,Brown,2016,Number,121.0
203,County,Brown,2015,Number,183.0
205,County,Brown,2017,Number,130.0
213,County,Butler,2008,Number,1027.0
215,County,Butler,2009,Number,901.0
216,County,Butler,2010,Number,595.0
217,County,Butler,2011,Number,633.0
218,County,Butler,2012,Number,647.0
220,County,Butler,2013,Number,707.0
222,County,Butler,2014,Number,668.0
224,County,Butler,2016,Number,595.0
226,County,Butler,2015,Number,596.0
228,County,Butler,2017,Number,541.0
236,County,Carroll,2008,Number,15.0
238,County,Carroll,2009,Number,16.0
239,County,Carroll,2010,Number,14.0
240,County,Carroll,2011,Number,14.0
241,County,Carroll,2012,Number,10.0
243,County,Carroll,2013,Number,16.0
245,County,Carroll,2014,Number,17.0
247,County,Carroll,2016,Number,13.0
249,County,Carroll,2015,Number,19.0
251,County,Carroll,2017,Number,12.0
259,County,Champaign,2008,Number,27.0
261,County,Champaign,2009,Number,25.0
262,County,Champaign,2010,Number,13.0
263,County,Champaign,2011,Number,16.0
264,County,Champaign,2012,Number,20.0
266,County,Champaign,2013,Number,19.0
268,County,Champaign,2014,Number,15.0
270,County,Champaign,2016,Number,23.0
272,County,Champaign,2015,Number,16.0
274,County,Champaign,2017,Number,33.0
282,County,Clark,2008,Number,280.0
284,County,Clark,2009,Number,270.0
285,County,Clark,2010,Number,214.0
286,County,Clark,2011,Number,205.0
287,County,Clark,2012,Number,196.0
289,County,Clark,2013,Number,187.0
291,County,Clark,2014,Number,185.0
293,County,Clark,2016,Number,185.0
295,County,Clark,2015,Number,198.0
297,County,Clark,2017,Number,179.0
305,County,Clermont,2008,Number,526.0
307,County,Clermont,2009,Number,464.0
308,County,Clermont,2010,Number,492.0
309,County,Clermont,2011,Number,489.0
310,County,Clermont,2012,Number,506.0
312,County,Clermont,2013,Number,569.0
314,County,Clermont,2014,Number,524.0
316,County,Clermont,2016,Number,354.0
318,County,Clermont,2015,Number,452.0
320,County,Clermont,2017,Number,295.0
328,County,Clinton,2008,Number,68.0
330,County,Clinton,2009,Number,60.0
331,County,Clinton,2010,Number,76.0
332,County,Clinton,2011,Number,82.0
333,County,Clinton,2012,Number,81.0
335,County,Clinton,2013,Number,93.0
337,County,Clinton,2014,Number,85.0
339,County,Clinton,2016,Number,86.0
341,County,Clinton,2015,Number,81.0
343,County,Clinton,2017,Number,126.0
351,County,Columbiana,2008,Number,232.0
353,County,Columbiana,2009,Number,188.0
354,County,Columbiana,2010,Number,138.0
355,County,Columbiana,2011,Number,123.0
356,County,Columbiana,2012,Number,112.0
358,County,Columbiana,2013,Number,108.0
360,County,Columbiana,2014,Number,114.0
362,County,Columbiana,2016,Number,131.0
364,County,Columbiana,2015,Number,116.0
366,County,Columbiana,2017,Number,137.0
374,County,Coshocton,2008,Number,32.0
376,County,Coshocton,2009,Number,30.0
377,County,Coshocton,2010,Number,29.0
378,County,Coshocton,2011,Number,40.0
379,County,Coshocton,2012,Number,34.0
381,County,Coshocton,2013,Number,31.0
383,County,Coshocton,2014,Number,35.0
385,County,Coshocton,2016,Number,45.0
387,County,Coshocton,2015,Number,31.0
389,County,Coshocton,2017,Number,55.0
397,County,Crawford,2008,Number,110.0
399,County,Crawford,2009,Number,72.0
400,County,Crawford,2010,Number,67.0
401,County,Crawford,2011,Number,75.0
402,County,Crawford,2012,Number,84.0
404,County,Crawford,2013,Number,103.0
406,County,Crawford,2014,Number,108.0
408,County,Crawford,2016,Number,91.0
410,County,Crawford,2015,Number,118.0
412,County,Crawford,2017,Number,102.0
420,County,Cuyahoga,2008,Number,3241.0
422,County,Cuyahoga,2009,Number,2923.0
423,County,Cuyahoga,2010,Number,2847.0
424,County,Cuyahoga,2011,Number,3088.0
425,County,Cuyahoga,2012,Number,3001.0
427,County,Cuyahoga,2013,Number,2697.0
429,County,Cuyahoga,2014,Number,2670.0
431,County,Cuyahoga,2016,Number,2939.0
433,County,Cuyahoga,2015,Number,2825.0
435,County,Cuyahoga,2017,Number,3294.0
443,County,Darke,2008,Number,67.0
445,County,Darke,2009,Number,71.0
446,County,Darke,2010,Number,67.0
447,County,Darke,2011,Number,53.0
448,County,Darke,2012,Number,49.0
450,County,Darke,2013,Number,45.0
452,County,Darke,2014,Number,48.0
