State,FY 2008,FY 2009,FY 2010,FY 2011,FY 2012,FY 2013,FY 2014,FY 2015,FY 2016,FY 2017
Alabama,1751,1475,1271,1297,1156,1084,1044,1020,1075,1268
Alaska,769,720,696,720,805,866,704,783,947,1039
Arizona,2323,2792,2673,2822,2914,3579,3641,4060,4713,4749
Arkansas,872,850,1604,1414,1023,994,1034,1122,1198,1330
California,17847,15664,14892,14630,13136,15667,14096,14180,14689,15097
Colorado,1897,1506,1246,1098,917,896,1008,926,1038,953
Connecticut,1389,1355,1261,1344,1385,1166,1343,1197,1111,1157
Delaware,304,239,253,244,243,218,202,223,254,281
District of Columbia,493,486,418,359,313,276,251,233,217,190
Florida,7942,6364,5022,4994,5129,3465,5558,5945,6870,7977
Georgia,2245,1802,1690,1567,1648,1799,1983,2544,2998,3404
Hawaii,555,428,351,296,223,154,187,142,177,247
Idaho,576,498,389,334,278,328,322,318,390,287
Illinois,4608,2728,2953,3151,2813,2988,2903,2806,2966,2848
Indiana,3090,3224,3192,2886,2451,2437,2731,2965,3773,4418
Iowa,1158,1003,1068,1088,961,964,1050,1014,1111,1137
Kansas,1960,1852,1825,1817,1853,1843,2116,2340,2392,2583
Kentucky,2101,2048,1951,1918,1999,2224,2420,2579,2612,2563
Louisiana,1069,1093,1091,1162,1089,961,1033,1220,1297,1378
Maine,619,571,575,511,480,564,590,666,647,576
Marlyand,1506,1221,883,772,559,498,464,508,468,481
Massachusetts,2846,2839,2758,2675,2469,2492,2771,3051,3481,3655
Michigan,5674,4902,5235,4237,3586,3337,3457,3408,3416,3646
Minnesota,1393,1227,1074,1143,1191,1219,1188,1285,1541,1990
Mississippi,996,975,843,880,955,1000,1184,1437,1553,1867
Missouri,1788,2214,1992,2056,2067,2162,2325,2513,2584,2825
Montana,521,537,495,460,403,498,587,580,633,831
Nebraska,881,831,768,831,904,705,692,709,715,771
Nevada,2200,2098,2094,1970,1880,1957,2067,1999,1619,1672
New Hampshire,297,274,227,167,182,189,159,146,131,153
New Jersey,3009,2694,2464,2294,2227,2443,2593,2698,2567,2479
New Mexico,907,870,777,786,834,880,990,1134,1263,1424
New York,7014,6890,6603,6417,6061,5843,5463,5172,4824,4475
North Carolina,2903,2722,2427,2227,2071,2172,2416,2739,2943,2907
North Dakota,288,298,227,230,211,237,262,296,355,396
Ohio,3477,3380,3013,2789,2655,2976,2942,3010,3201,3373
Oklahoma,3766,3425,2869,2951,2805,3238,3973,4288,4366,4074
Oregon,2206,1840,1827,1830,1873,1854,1879,1729,1666,1613
Pennsylvania,3525,3356,2909,2066,1924,1909,1896,2425,3092,3711
Rhode Island,415,333,309,267,222,250,212,303,296,317
South Carolina,1823,1862,1699,1415,1336,1226,1211,1213,1344,1470
South Dakota,421,380,418,376,397,354,336,308,361,365
Tennessee,1155,1019,789,783,949,1077,1178,1268,1301,1322
Texas,13414,12844,13108,13481,13154,12991,13238,12643,12377,13443
Utah,553,565,553,567,570,612,629,594,630,802
Vermont,225,231,180,196,226,213,232,304,387,329
Virginia,1769,1617,1562,1372,1519,1503,1532,1708,1886,1826
Washington,3035,3147,3089,2783,2860,3101,3213,3075,3278,3569
West Virginia,1300,1220,1241,1474,1407,1364,1388,1456,2147,2403
Wisconsin,1329,1256,1159,1163,1129,1153,1148,1267,1389,1397
Wyoming,113,98,111,130,115,85,81,69,61,69
Puerto Rico,1071,40,76,746,822,797,688,263,258,300
Total,125388,113903,108200,105186,100379,102808,106610,109881,116608,123437
