LocationType,Location,TimeFrame,DataFormat,Data
State,Ohio,2001,Number,36487
State,Ohio,2002,Number,36314
State,Ohio,2003,Number,34008
State,Ohio,2004,Number,31684
State,Ohio,2005,Number,30242
State,Ohio,2006,Number,29669
State,Ohio,2008,Number,25230
State,Ohio,2007,Number,27178
State,Ohio,2009,Number,23785
State,Ohio,2010,Number,21697
State,Ohio,2011,Number,22304
State,Ohio,2012,Number,21994
State,Ohio,2012,Rate,8.3
State,Ohio,2013,Number,22448
State,Ohio,2013,Rate,8.5
State,Ohio,2014,Number,22135
State,Ohio,2014,Rate,8.4
State,Ohio,2016,Number,24255
State,Ohio,2016,Rate,9.28538
State,Ohio,2015,Number,22970
State,Ohio,2015,Rate,8.7
State,Ohio,2017,Number,26324
State,Ohio,2017,Rate,10.10427
County,Adams,2001,Number,86
County,Adams,2002,Number,74
County,Adams,2003,Number,74
County,Adams,2004,Number,100
County,Adams,2005,Number,90
County,Adams,2006,Number,123
County,Adams,2008,Number,114
County,Adams,2007,Number,113
County,Adams,2009,Number,71
County,Adams,2010,Number,59
County,Adams,2011,Number,92
County,Adams,2012,Number,109
County,Adams,2012,Rate,15.7
County,Adams,2013,Number,101
County,Adams,2013,Rate,14.7
County,Adams,2014,Number,119
County,Adams,2014,Rate,17.2
County,Adams,2016,Number,114
County,Adams,2016,Rate,16.9416
County,Adams,2015,Number,99
County,Adams,2015,Rate,14.5
County,Adams,2017,Number,122
County,Adams,2017,Rate,18.27442
County,Allen,2001,Number,211
County,Allen,2002,Number,203
County,Allen,2003,Number,210
County,Allen,2004,Number,235
County,Allen,2005,Number,239
County,Allen,2006,Number,220
County,Allen,2008,Number,235
County,Allen,2007,Number,240
County,Allen,2009,Number,200
County,Allen,2010,Number,183
County,Allen,2011,Number,181
County,Allen,2012,Number,159
County,Allen,2012,Rate,6.4
County,Allen,2013,Number,147
County,Allen,2013,Rate,6
County,Allen,2014,Number,151
County,Allen,2014,Rate,6.2
County,Allen,2016,Number,199
County,Allen,2016,Rate,8.2313
County,Allen,2015,Number,166
County,Allen,2015,Rate,6.8
County,Allen,2017,Number,148
County,Allen,2017,Rate,6.19325
County,Ashland,2001,Number,74
County,Ashland,2002,Number,82
County,Ashland,2003,Number,89
County,Ashland,2004,Number,88
County,Ashland,2005,Number,96
County,Ashland,2006,Number,111
County,Ashland,2008,Number,106
County,Ashland,2007,Number,102
County,Ashland,2009,Number,113
County,Ashland,2010,Number,130
County,Ashland,2011,Number,135
County,Ashland,2012,Number,129
County,Ashland,2012,Rate,10.6
County,Ashland,2013,Number,132
County,Ashland,2013,Rate,10.8
County,Ashland,2014,Number,109
County,Ashland,2014,Rate,8.9
County,Ashland,2016,Number,131
County,Ashland,2016,Rate,10.74123
County,Ashland,2015,Number,125
County,Ashland,2015,Rate,10.2
County,Ashland,2017,Number,152
County,Ashland,2017,Rate,12.45391
County,Ashtabula,2001,Number,292
County,Ashtabula,2002,Number,262
County,Ashtabula,2003,Number,254
County,Ashtabula,2004,Number,251
County,Ashtabula,2005,Number,257
County,Ashtabula,2006,Number,260
County,Ashtabula,2008,Number,199
County,Ashtabula,2007,Number,225
County,Ashtabula,2009,Number,185
County,Ashtabula,2010,Number,188
County,Ashtabula,2011,Number,224
County,Ashtabula,2012,Number,242
County,Ashtabula,2012,Rate,10.5
County,Ashtabula,2013,Number,267
County,Ashtabula,2013,Rate,11.8
County,Ashtabula,2014,Number,254
County,Ashtabula,2014,Rate,11.4
County,Ashtabula,2016,Number,361
County,Ashtabula,2016,Rate,16.51796
County,Ashtabula,2015,Number,256
County,Ashtabula,2015,Rate,11.6
County,Ashtabula,2017,Number,421
County,Ashtabula,2017,Rate,19.39913
County,Athens,2001,Number,167
County,Athens,2002,Number,195
County,Athens,2003,Number,180
County,Athens,2004,Number,180
County,Athens,2005,Number,169
County,Athens,2006,Number,161
County,Athens,2008,Number,180
County,Athens,2007,Number,167
County,Athens,2009,Number,156
County,Athens,2010,Number,179
County,Athens,2011,Number,125
County,Athens,2012,Number,129
County,Athens,2012,Rate,12.8
County,Athens,2013,Number,122
County,Athens,2013,Rate,12.4
County,Athens,2014,Number,137
County,Athens,2014,Rate,13.6
County,Athens,2016,Number,178
County,Athens,2016,Rate,18.10968
County,Athens,2015,Number,145
County,Athens,2015,Rate,14.7
County,Athens,2017,Number,181
County,Athens,2017,Rate,18.69835
County,Auglaize,2001,Number,63
County,Auglaize,2002,Number,47
County,Auglaize,2003,Number,50
County,Auglaize,2004,Number,36
County,Auglaize,2005,Number,18
County,Auglaize,2006,Number,28
County,Auglaize,2008,Number,16
County,Auglaize,2007,Number,25
County,Auglaize,2009,Number,9
County,Auglaize,2010,Number,12
County,Auglaize,2011,Number,15
County,Auglaize,2012,Number,23
County,Auglaize,2012,Rate,2
County,Auglaize,2013,Number,17
County,Auglaize,2013,Rate,1.5
County,Auglaize,2014,Number,21
County,Auglaize,2014,Rate,1.9
County,Auglaize,2016,Number,12
County,Auglaize,2016,Rate,1.08676
County,Auglaize,2015,Number,17
County,Auglaize,2015,Rate,1.5
County,Auglaize,2017,Number,17
County,Auglaize,2017,Rate,1.5285
County,Belmont,2001,Number,139
County,Belmont,2002,Number,120
County,Belmont,2003,Number,118
County,Belmont,2004,Number,112
County,Belmont,2005,Number,108
County,Belmont,2006,Number,106
County,Belmont,2008,Number,94
County,Belmont,2007,Number,94
County,Belmont,2009,Number,87
County,Belmont,2010,Number,87
County,Belmont,2011,Number,91
County,Belmont,2012,Number,72
County,Belmont,2012,Rate,5.4
County,Belmont,2013,Number,77
County,Belmont,2013,Rate,5.8
County,Belmont,2014,Number,92
County,Belmont,2014,Rate,6.9
County,Belmont,2016,Number,84
County,Belmont,2016,Rate,6.42497
County,Belmont,2015,Number,90
County,Belmont,2015,Rate,6.8
County,Belmont,2017,Number,66
County,Belmont,2017,Rate,5.10007
County,Brown,2001,Number,133
County,Brown,2002,Number,103
County,Brown,2003,Number,109
County,Brown,2004,Number,120
County,Brown,2005,Number,129
County,Brown,2006,Number,133
County,Brown,2008,Number,125
County,Brown,2007,Number,107
County,Brown,2009,Number,96
County,Brown,2010,Number,93
County,Brown,2011,Number,99
County,Brown,2012,Number,144
County,Brown,2012,Rate,13.6
County,Brown,2013,Number,177
County,Brown,2013,Rate,16.9
County,Brown,2014,Number,154
County,Brown,2014,Rate,14.9
County,Brown,2016,Number,121
County,Brown,2016,Rate,12.0602
County,Brown,2015,Number,183
County,Brown,2015,Rate,18
County,Brown,2017,Number,130
County,Brown,2017,Rate,12.97405
County,Butler,2001,Number,680
County,Butler,2002,Number,726
County,Butler,2003,Number,658
County,Butler,2004,Number,608
County,Butler,2005,Number,683
County,Butler,2006,Number,759
County,Butler,2008,Number,1027
County,Butler,2007,Number,953
County,Butler,2009,Number,901
County,Butler,2010,Number,595
County,Butler,2011,Number,633
County,Butler,2012,Number,647
County,Butler,2012,Rate,7.1
County,Butler,2013,Number,707
County,Butler,2013,Rate,7.8
County,Butler,2014,Number,668
County,Butler,2014,Rate,7.4
County,Butler,2016,Number,595
County,Butler,2016,Rate,6.61957
County,Butler,2015,Number,596
County,Butler,2015,Rate,6.6
County,Butler,2017,Number,541
County,Butler,2017,Rate,6.00371
County,Carroll,2001,Number,19
County,Carroll,2002,Number,27
County,Carroll,2003,Number,31
County,Carroll,2004,Number,30
County,Carroll,2005,Number,29
County,Carroll,2006,Number,23
County,Carroll,2008,Number,15
County,Carroll,2007,Number,28
County,Carroll,2009,Number,16
County,Carroll,2010,Number,14
County,Carroll,2011,Number,14
County,Carroll,2012,Number,10
County,Carroll,2012,Rate,1.6
County,Carroll,2013,Number,16
County,Carroll,2013,Rate,2.6
County,Carroll,2014,Number,17
County,Carroll,2014,Rate,2.8
County,Carroll,2016,Number,13
County,Carroll,2016,Rate,2.23406
County,Carroll,2015,Number,19
