,Location,Year,Children In Foster Care
29,Adams,2008,114
31,Adams,2009,71
32,Adams,2010,59
33,Adams,2011,92
34,Adams,2012,109
36,Adams,2013,101
38,Adams,2014,119
40,Adams,2016,114
42,Adams,2015,99
44,Adams,2017,122
52,Allen,2008,235
54,Allen,2009,200
55,Allen,2010,183
56,Allen,2011,181
57,Allen,2012,159
59,Allen,2013,147
61,Allen,2014,151
63,Allen,2016,199
65,Allen,2015,166
67,Allen,2017,148
75,Ashland,2008,106
77,Ashland,2009,113
78,Ashland,2010,130
79,Ashland,2011,135
80,Ashland,2012,129
82,Ashland,2013,132
84,Ashland,2014,109
86,Ashland,2016,131
88,Ashland,2015,125
90,Ashland,2017,152
98,Ashtabula,2008,199
100,Ashtabula,2009,185
101,Ashtabula,2010,188
102,Ashtabula,2011,224
103,Ashtabula,2012,242
105,Ashtabula,2013,267
107,Ashtabula,2014,254
109,Ashtabula,2016,361
111,Ashtabula,2015,256
113,Ashtabula,2017,421
121,Athens,2008,180
123,Athens,2009,156
124,Athens,2010,179
125,Athens,2011,125
126,Athens,2012,129
128,Athens,2013,122
130,Athens,2014,137
132,Athens,2016,178
134,Athens,2015,145
136,Athens,2017,181
144,Auglaize,2008,16
146,Auglaize,2009,9
147,Auglaize,2010,12
148,Auglaize,2011,15
149,Auglaize,2012,23
151,Auglaize,2013,17
153,Auglaize,2014,21
155,Auglaize,2016,12
157,Auglaize,2015,17
159,Auglaize,2017,17
167,Belmont,2008,94
169,Belmont,2009,87
170,Belmont,2010,87
171,Belmont,2011,91
172,Belmont,2012,72
174,Belmont,2013,77
176,Belmont,2014,92
178,Belmont,2016,84
180,Belmont,2015,90
182,Belmont,2017,66
190,Brown,2008,125
192,Brown,2009,96
193,Brown,2010,93
194,Brown,2011,99
195,Brown,2012,144
197,Brown,2013,177
199,Brown,2014,154
201,Brown,2016,121
203,Brown,2015,183
205,Brown,2017,130
213,Butler,2008,1027
215,Butler,2009,901
216,Butler,2010,595
217,Butler,2011,633
218,Butler,2012,647
220,Butler,2013,707
222,Butler,2014,668
224,Butler,2016,595
226,Butler,2015,596
228,Butler,2017,541
236,Carroll,2008,15
238,Carroll,2009,16
239,Carroll,2010,14
240,Carroll,2011,14
241,Carroll,2012,10
243,Carroll,2013,16
245,Carroll,2014,17
247,Carroll,2016,13
249,Carroll,2015,19
251,Carroll,2017,12
259,Champaign,2008,27
261,Champaign,2009,25
262,Champaign,2010,13
263,Champaign,2011,16
264,Champaign,2012,20
266,Champaign,2013,19
268,Champaign,2014,15
270,Champaign,2016,23
272,Champaign,2015,16
274,Champaign,2017,33
282,Clark,2008,280
284,Clark,2009,270
285,Clark,2010,214
286,Clark,2011,205
287,Clark,2012,196
289,Clark,2013,187
291,Clark,2014,185
293,Clark,2016,185
295,Clark,2015,198
297,Clark,2017,179
305,Clermont,2008,526
307,Clermont,2009,464
308,Clermont,2010,492
309,Clermont,2011,489
310,Clermont,2012,506
312,Clermont,2013,569
314,Clermont,2014,524
316,Clermont,2016,354
318,Clermont,2015,452
320,Clermont,2017,295
