,County,Total Deaths in 2008,Population in 2008,Total Deaths in 2009,Population in 2009,Total Deaths in 2010,Population in 2010,Total Deaths in 2011,Population in 2011,Total Deaths in 2012,Population in 2012,Total Deaths in 2013,Population in 2013,Total Deaths in 2014,Population in 2014,Total Deaths in 2015,Population in 2015,Total Deaths in 2016,Population in 2016,Total Deaths in 2017,Population in 2017,2008 Death Rate,2009 Death Rate,2010 Death Rate,2011 Death Rate,2012 Death Rate,2013 Death Rate,2014 Death Rate,2015 Death Rate,2016 Death Rate,2017 Death Rate
0,Adams,4,28686,3,28500,3,28547,0,28466,9,28300,10,28096,28,28063,26,27914,35,27832,40,27726,13.944084222268703,10.526315789473685,10.508985182330893,0.0,31.80212014134276,35.59225512528474,99.77550511349465,93.1432256215519,125.75452716297787,144.26891726177595
1,Allen,2,106773,6,106518,6,106366,14,105975,30,105233,31,105025,20,104843,56,104093,74,103626,95,103198,1.8731327208189337,5.632850785782685,5.6409002876859144,13.210662892191555,28.508167590014537,29.51678171863842,19.07614242247933,53.798045978115724,71.41064983691352,92.05604759782166
2,Ashland,4,53499,0,53305,4,53324,7,53247,0,53233,0,53118,9,53107,12,53224,10,53417,7,53628,7.476775266827417,0.0,7.501312729727703,13.146280541626759,0.0,0.0,16.946918485322087,22.5462197504885,18.720632008536608,13.052882822406207
3,Ashtabula,6,101826,9,101584,11,101397,5,101060,31,100227,24,99716,47,99021,37,98396,128,98169,53,97807,5.892404690354133,8.859662939045519,10.848447192717734,4.947555907381753,30.929789378111685,24.068354125717036,47.46467920946062,37.60315459978048,130.38739316892298,54.18835052705839
4,Athens,3,64546,13,64618,9,65178,37,65080,18,64590,21,64456,21,64649,20,65793,17,66320,14,66597,4.647848046354538,20.118233309604136,13.808340237503453,56.85310387215734,27.868091035764053,32.580364900086884,32.483101053380565,30.398370647333305,25.63329312424608,21.02196795651456
5,Auglaize,9,46167,3,45996,6,45931,10,45767,11,45793,10,45814,3,45753,18,45749,7,45797,18,45778,19.49444408343622,6.522306287503261,13.063072870174826,21.849804444250225,24.02113860196973,21.827389007726893,6.55694708543702,39.34512229775514,15.284843985413891,39.32019747476954
6,Belmont,12,70356,6,70439,12,70340,3,70117,17,69700,2,69555,12,69348,25,68943,36,68568,24,68029,17.056114617090227,8.518008489615127,17.05999431333523,4.278562973316029,24.390243902439025,2.875422327654374,17.304031839418585,36.26183949059368,52.502625131256565,35.27907216040218
7,Brown,9,44668,7,44740,14,44880,11,44639,12,44294,29,44126,27,43944,70,43703,45,43644,83,43576,20.148652279036444,15.645954403218596,31.194295900178254,24.642129079952507,27.091705422856368,65.72089017812628,61.44183506280721,160.17207056723797,103.10695628265054,190.471819350101
8,Butler,100,364179,135,366633,113,369088,151,370049,111,370432,217,371017,370,373388,562,375569,595,377933,737,380604,27.459024271031552,36.82156270712129,30.616004855210683,40.80540685152507,29.965013821700072,58.48788599983289,99.09263286447342,149.63961349312643,157.43531260831946,193.6395833990184
9,Carroll,6,28999,5,28917,0,28848,0,28821,8,28540,5,28256,6,28131,12,27716,8,27637,14,27385,20.690368633401153,17.29086696406958,0.0,0.0,28.03083391730904,17.695356738391844,21.32878319291884,43.29629095107519,28.94670188515396,51.12287748767574
10,Champaign,0,40263,0,40265,18,40072,13,39811,13,39561,9,39447,21,39061,20,38941,29,38737,47,38840,0.0,0.0,44.91914553803154,32.65429152746728,32.860645585298656,22.815423226100844,53.762064463275394,51.3597493644231,74.86382528332085,121.00926879505664
11,Clark,31,139404,32,138778,39,138265,86,137754,80,137115,76,136567,90,136233,202,135624,205,134621,290,134557,22.237525465553354,23.058409834411794,28.206704516688966,62.43012907066219,58.34518469897531,55.650340126091955,66.06328863050803,148.9411903497906,152.2793620608969,215.52204641898973
