,County,Total Deaths in 2008,Total Deaths in 2009,Total Deaths in 2010,Total Deaths in 2011,Total Deaths in 2012,Total Deaths in 2013,Total Deaths in 2014,Total Deaths in 2015,Total Deaths in 2016,Total Deaths in 2017,Total Deaths,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Kids in Foster Care
0,Adams,4,3,3,0,9,10,28,26,35,40,158,114,71,59,92,109,101,119,99,114,122,1000
1,Allen,2,6,6,14,30,31,20,56,74,95,334,235,200,183,181,159,147,151,166,199,148,1769
2,Ashland,4,0,4,7,0,0,9,12,10,7,53,106,113,130,135,129,132,109,125,131,152,1262
3,Ashtabula,6,9,11,5,31,24,47,37,128,53,351,199,185,188,224,242,267,254,256,361,421,2597
4,Athens,3,13,9,37,18,21,21,20,17,14,173,180,156,179,125,129,122,137,145,178,181,1532
5,Auglaize,9,3,6,10,11,10,3,18,7,18,95,16,9,12,15,23,17,21,17,12,17,159
6,Belmont,12,6,12,3,17,2,12,25,36,24,149,94,87,87,91,72,77,92,90,84,66,840
7,Brown,9,7,14,11,12,29,27,70,45,83,307,125,96,93,99,144,177,154,183,121,130,1322
8,Butler,100,135,113,151,111,217,370,562,595,737,3091,1027,901,595,633,647,707,668,596,595,541,6910
9,Carroll,6,5,0,0,8,5,6,12,8,14,64,15,16,14,14,10,16,17,19,13,12,146
10,Champaign,0,0,18,13,13,9,21,20,29,47,170,27,25,13,16,20,19,15,16,23,33,207
11,Clark,31,32,39,86,80,76,90,202,205,290,1131,280,270,214,205,196,187,185,198,185,179,2099
12,Clermont,85,56,117,115,121,135,213,316,275,279,1712,526,464,492,489,506,569,524,452,354,295,4671
13,Clinton,15,14,2,2,21,25,16,58,38,84,275,68,60,76,82,81,93,85,81,86,126,838
14,Columbiana,7,0,4,7,21,13,24,20,24,41,161,232,188,138,123,112,108,114,116,131,137,1399
15,Coshocton,6,0,2,2,3,8,4,8,4,9,46,32,30,29,40,34,31,35,31,45,55,362
16,Crawford,6,4,6,7,7,5,27,30,20,51,163,110,72,67,75,84,103,108,118,91,102,930
17,Cuyahoga,253,271,300,459,452,513,572,670,1673,1779,6942,3241,2923,2847,3088,3001,2697,2670,2825,2939,3294,29525
18,Darke,5,7,4,7,24,14,29,30,53,81,254,67,71,67,53,49,45,48,56,57,49,562
19,Defiance,0,4,2,12,5,6,12,23,13,8,85,65,68,49,48,43,43,56,72,58,47,549
20,Delaware,12,25,27,25,36,35,28,26,29,86,329,137,125,91,60,49,64,60,56,69,60,771
21,Erie,9,12,6,8,8,11,32,57,76,80,299,196,145,112,104,130,170,166,199,174,180,1576
22,Fairfield,9,40,36,23,38,33,25,43,54,112,413,314,297,244,316,287,317,285,275,302,253,2890
23,Fayette,4,10,3,5,3,4,25,41,19,77,191,91,81,91,75,57,73,65,60,83,107,783
24,Franklin,226,282,398,429,389,380,423,613,797,1238,5175,3718,4150,3955,3974,3751,3830,3748,3812,4091,4253,39282
