County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 **,2019 **
Adams,0,0,0,0,0,3,1,6,6,8,5,1,0
Allen,1,0,0,0,1,5,5,3,9,7,3,1,0
Ashland,1,1,0,1,0,0,0,2,3,1,0,1,0
Ashtabula,0,0,0,1,1,11,8,15,8,29,4,3,0
Athens,1,0,2,0,2,5,5,3,3,2,1,1,0
Auglaize,0,0,0,0,1,1,1,0,2,1,0,0,0
Belmont,0,0,0,0,0,1,0,2,4,4,0,3,3
Brown,0,0,2,2,1,4,10,7,12,4,9,8,2
Butler,1,6,4,2,4,8,60,82,112,88,53,25,8
Carroll,0,2,0,0,0,1,1,1,2,1,1,2,0
Champaign,0,0,0,2,0,2,1,6,3,3,0,1,0
Clark,1,1,2,1,12,14,13,19,26,17,6,12,5
Clermont,5,13,12,20,15,33,43,41,70,54,36,18,3
Clinton,0,2,4,1,1,3,6,3,7,3,2,1,0
Columbiana,0,1,0,0,1,7,3,5,3,5,0,2,1
Coshocton,0,0,0,1,1,0,2,0,0,2,0,1,1
Crawford,0,0,0,0,1,2,0,3,4,1,5,4,0
Cuyahoga,30,52,55,73,93,134,166,163,156,278,223,132,35
Darke,2,0,1,1,0,3,5,2,5,3,0,3,1
Defiance,0,0,1,0,0,1,0,2,5,2,1,2,0
Delaware,0,1,3,5,0,5,4,9,4,4,7,4,0
Erie,0,0,0,0,1,1,1,4,7,7,6,3,1
Fairfield,2,0,6,8,3,5,11,10,6,7,11,3,1
Fayette,1,1,1,0,1,0,2,4,6,1,0,1,0
Franklin,21,23,41,39,46,63,86,103,133,121,70,60,11
Fulton,0,0,1,1,0,2,0,2,2,2,1,1,0
Gallia,0,0,0,0,0,2,4,2,3,8,5,4,1
Geauga,1,3,0,5,6,5,7,7,6,9,8,4,4
Greene,2,8,4,2,4,2,9,12,13,9,6,8,2
Guernsey,0,0,0,0,1,0,1,2,3,3,1,2,0
Hamilton,20,28,27,47,70,85,143,146,216,186,189,94,11
Hancock,0,0,0,1,0,3,2,6,6,7,4,3,0
Hardin,1,2,3,1,2,1,7,0,1,2,2,2,1
Harrison,0,0,0,0,0,0,2,1,1,0,0,2,0
Henry,0,0,0,0,0,0,0,1,3,2,0,3,0
Highland,0,2,3,0,2,2,6,7,5,0,0,0,0
Hocking,2,2,1,0,2,1,2,1,2,1,3,2,1
Holmes,0,0,0,0,0,0,0,0,0,1,0,0,0
Huron,1,1,2,0,2,1,1,8,2,6,6,2,1
Jackson,1,0,1,0,3,3,3,4,2,1,3,1,1
Jefferson,0,0,0,0,0,0,1,1,1,2,0,2,1
Knox,0,1,0,2,1,1,3,0,2,1,0,1,1
Lake,7,3,4,16,14,19,19,27,22,35,27,11,4
Lawrence,0,1,0,0,1,0,2,1,13,10,10,7,1
Licking,1,2,1,2,5,1,8,7,8,3,2,4,0
Logan,0,0,2,2,0,1,1,3,1,5,0,1,0
Lorain,3,4,4,7,3,20,33,34,30,55,37,27,11
Lucas,2,3,2,6,3,29,33,62,60,50,28,19,2
Madison,1,0,2,0,1,4,2,4,4,3,3,0,0
Mahoning,3,2,11,4,12,23,20,21,29,40,25,21,3
Marion,1,1,2,2,4,8,6,21,10,7,4,3,1
Medina,1,4,4,0,2,6,10,10,14,14,1,6,0
Meigs,0,0,0,0,1,0,1,1,2,6,2,5,1
Mercer,0,0,0,0,1,0,1,3,1,1,0,0,0
Miami,1,3,4,5,1,5,6,7,4,6,4,3,0
Monroe,0,0,0,0,0,0,0,2,0,0,0,0,0
Montgomery,20,26,24,17,24,52,54,76,97,70,35,35,8
Morgan,0,0,0,0,1,0,0,0,0,1,0,0,0
Morrow,0,0,2,1,0,0,4,2,2,3,4,2,0
Muskingum,0,0,0,0,0,0,1,1,0,0,1,6,3
Noble,0,0,0,0,0,0,0,0,2,0,0,1,0
NonOH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,0,1,2,2,6,1,1,0
Paulding,0,0,1,0,0,0,0,1,0,0,0,0,0
Perry,0,0,0,0,0,0,0,1,2,2,2,4,0
Pickaway,0,1,1,2,7,5,5,4,6,3,2,4,2
Pike,0,1,0,0,1,1,3,2,3,3,3,8,0
Portage,0,0,0,4,2,6,8,20,16,12,5,9,0
Preble,0,1,0,1,0,1,3,3,7,5,1,2,0
Putnam,0,0,0,1,0,0,0,1,1,2,0,1,0
Richland,0,2,6,6,9,2,18,17,23,23,6,8,6
Ross,1,0,2,1,2,5,8,16,20,15,11,13,1
Sandusky,0,1,0,0,0,0,0,5,2,4,1,4,0
Scioto,0,1,0,1,3,3,9,3,10,6,6,8,4
Seneca,0,0,1,0,0,1,3,7,2,1,8,2,0
Shelby,1,2,1,2,4,1,1,3,5,3,0,0,1
Stark,0,6,2,8,13,9,16,26,19,23,16,18,5
Summit,4,6,8,14,10,29,36,42,43,52,21,7,3
Trumbull,3,5,9,7,19,11,20,30,50,25,27,12,4
Tuscarawas,0,1,1,0,1,1,2,1,3,6,1,2,0
Union,0,0,0,2,0,0,1,2,1,3,4,0,1
Unknown,0,0,0,0,0,0,0,0,0,0,0,1,0
Van Wert,0,0,1,2,1,0,1,2,0,5,1,1,0
Vinton,0,0,0,0,0,1,0,1,1,1,1,2,0
Warren,2,5,7,6,7,11,14,18,16,17,6,5,2
Washington,1,0,0,1,1,0,2,1,6,5,5,3,1
Wayne,0,0,3,2,0,3,1,2,7,2,1,1,0
Williams,0,0,0,0,0,0,2,1,1,6,1,1,0
Wood,0,2,2,0,0,1,3,8,14,9,2,2,1
Wyandot,0,0,0,0,0,1,0,0,1,3,1,3,0
