County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 **,2019 **
Adams,1,1,1,0,0,1,0,1,0,2,0,0,0
Allen,0,0,1,0,1,1,0,0,1,0,0,0,0
Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashtabula,1,0,0,2,0,0,0,0,0,1,1,0,1
Athens,0,0,1,1,3,0,2,0,0,0,2,0,1
Auglaize,1,0,0,0,0,3,0,0,0,0,1,0,0
Belmont,0,2,0,0,0,0,0,0,0,0,0,1,0
Brown,4,1,1,0,0,0,2,2,1,1,0,1,0
Butler,8,9,15,7,4,3,2,5,2,6,4,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0
Champaign,0,0,0,2,2,1,0,0,0,0,1,0,0
Clark,1,2,1,3,3,2,1,1,1,2,1,1,0
Clermont,17,11,6,8,6,6,1,5,5,0,3,2,0
Clinton,0,2,0,0,0,1,2,0,1,0,0,0,0
Columbiana,3,0,0,0,0,0,0,0,0,0,1,0,0
Coshocton,0,1,0,0,0,0,1,1,0,0,0,0,0
Crawford,1,0,1,0,0,1,0,3,1,1,0,0,0
Cuyahoga,9,11,12,8,22,9,11,9,9,11,11,3,2
Darke,1,0,1,0,1,1,1,2,2,0,0,1,0
Defiance,0,0,0,0,2,0,0,0,0,0,0,0,0
Delaware,1,1,2,1,2,3,1,0,0,0,2,1,0
Erie,0,2,3,1,1,0,1,1,2,4,0,0,0
Fairfield,3,2,4,0,2,2,1,1,1,0,1,0,0
Fayette,3,0,1,0,1,1,0,0,1,0,1,0,0
Franklin,12,12,14,23,13,13,17,8,18,14,11,11,3
Fulton,0,0,0,1,0,2,0,0,1,0,0,0,0
Gallia,0,1,0,0,0,0,0,1,2,0,0,0,0
Geauga,0,0,0,1,0,0,2,0,2,0,0,1,0
Greene,0,4,1,3,3,3,2,1,0,1,2,4,0
Guernsey,0,0,1,0,0,0,0,0,0,0,0,0,0
Hamilton,19,22,12,11,13,14,14,10,14,7,11,6,2
Hancock,0,0,0,0,1,1,0,0,0,0,0,0,0
Hardin,1,1,1,0,1,0,2,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,1,0,0,0,0,0,0,0,0,0
Highland,2,0,0,0,0,0,0,0,1,0,0,0,0
Hocking,1,1,0,0,1,0,0,0,0,0,0,0,0
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0
Huron,0,2,5,0,1,2,2,1,0,2,1,0,0
Jackson,1,0,1,1,0,1,1,0,0,1,0,0,0
Jefferson,0,0,1,0,4,0,0,1,1,1,2,0,0
Knox,1,2,1,1,2,0,0,0,1,0,0,0,0
Lake,3,3,3,7,5,5,4,5,3,2,0,1,0
Lawrence,1,1,0,0,1,0,1,1,1,0,0,1,0
Licking,1,4,2,4,1,4,4,1,1,0,1,2,0
Logan,1,1,1,0,0,0,1,0,1,0,0,0,0
Lorain,3,3,0,1,2,3,2,0,2,2,3,3,0
Lucas,4,7,7,3,4,3,5,3,1,4,1,4,0
Madison,0,1,0,2,0,2,2,0,0,0,1,0,0
Mahoning,2,5,5,5,5,2,2,2,2,1,0,3,0
Marion,2,2,2,4,1,5,3,2,1,4,2,1,0
Medina,2,2,0,0,0,1,1,0,0,0,1,0,0
Meigs,0,0,0,0,0,0,2,0,0,0,0,0,0
Mercer,0,0,0,1,1,0,0,0,0,0,0,0,0
Miami,3,4,2,3,0,1,0,0,0,1,1,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,25,20,18,10,19,6,5,6,5,8,17,6,1
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0
Morrow,1,0,2,2,1,0,1,0,1,0,0,3,0
Muskingum,0,1,0,0,0,1,0,0,1,0,0,1,0
Noble,0,0,0,0,0,0,0,0,0,0,0,0,0
NonOH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,2,0,1,0,0,1,1,0,1,0,0,0,0
Paulding,0,0,0,1,0,0,0,0,0,0,0,0,0
Perry,0,1,1,1,1,2,0,0,0,0,0,0,0
Pickaway,0,1,3,1,0,0,0,0,0,0,1,0,0
Pike,0,1,0,0,0,0,0,2,0,0,0,0,0
Portage,1,1,1,0,1,0,0,0,0,0,0,0,0
Preble,1,0,1,1,0,0,0,1,1,1,1,0,0
Putnam,0,0,0,0,0,0,0,0,2,0,0,0,0
Richland,1,0,3,3,0,1,0,3,1,1,0,0,0
Ross,0,2,3,1,4,3,2,2,1,2,0,2,0
Sandusky,1,2,0,1,1,1,1,1,0,1,0,0,0
Scioto,3,1,0,2,2,0,0,0,0,1,0,1,0
Seneca,1,0,2,0,2,0,1,1,0,1,0,0,0
Shelby,0,1,1,0,0,0,1,1,0,0,0,0,1
Stark,1,0,2,2,3,2,3,2,2,1,2,0,1
Summit,7,2,3,4,3,2,1,3,7,5,3,2,0
Trumbull,14,5,7,5,5,1,1,5,1,1,4,1,0
Tuscarawas,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,1,0,2,3,0,0,0,1,0,1,2,0,0
Unknown,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Wert,0,0,0,0,0,1,0,1,0,0,0,0,0
Vinton,0,1,0,0,0,0,0,1,0,0,0,0,0
Warren,4,6,7,8,2,2,1,0,2,1,1,0,0
Washington,0,0,1,0,1,1,1,4,0,1,0,0,0
Wayne,0,0,0,0,1,1,0,1,2,0,0,0,0
Williams,0,0,0,2,0,0,0,0,0,1,0,0,0
Wood,0,0,2,3,1,1,0,1,2,0,1,0,0
Wyandot,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
