,County,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Total Kids in Foster Care
0,Adams,114,71,59,92,109,101,119,99,114,122,1000
1,Allen,235,200,183,181,159,147,151,166,199,148,1769
2,Ashland,106,113,130,135,129,132,109,125,131,152,1262
3,Ashtabula,199,185,188,224,242,267,254,256,361,421,2597
4,Athens,180,156,179,125,129,122,137,145,178,181,1532
5,Auglaize,16,9,12,15,23,17,21,17,12,17,159
6,Belmont,94,87,87,91,72,77,92,90,84,66,840
7,Brown,125,96,93,99,144,177,154,183,121,130,1322
8,Butler,1027,901,595,633,647,707,668,596,595,541,6910
9,Carroll,15,16,14,14,10,16,17,19,13,12,146
10,Champaign,27,25,13,16,20,19,15,16,23,33,207
11,Clark,280,270,214,205,196,187,185,198,185,179,2099
12,Clermont,526,464,492,489,506,569,524,452,354,295,4671
13,Clinton,68,60,76,82,81,93,85,81,86,126,838
14,Columbiana,232,188,138,123,112,108,114,116,131,137,1399
15,Coshocton,32,30,29,40,34,31,35,31,45,55,362
16,Crawford,110,72,67,75,84,103,108,118,91,102,930
17,Cuyahoga,3241,2923,2847,3088,3001,2697,2670,2825,2939,3294,29525
18,Darke,67,71,67,53,49,45,48,56,57,49,562
19,Defiance,65,68,49,48,43,43,56,72,58,47,549
20,Delaware,137,125,91,60,49,64,60,56,69,60,771
21,Erie,196,145,112,104,130,170,166,199,174,180,1576
22,Fairfield,314,297,244,316,287,317,285,275,302,253,2890
23,Fayette,91,81,91,75,57,73,65,60,83,107,783
24,Franklin,3718,4150,3955,3974,3751,3830,3748,3812,4091,4253,39282
25,Fulton,34,28,17,30,28,39,26,25,25,38,290
26,Gallia,72,40,36,42,34,37,32,22,33,34,382
27,Geauga,41,56,49,51,69,91,102,102,115,95,771
28,Greene,235,245,251,183,181,179,195,252,249,239,2209
29,Guernsey,78,96,91,91,73,75,63,78,98,134,877
30,Hamilton,2130,2159,2033,2249,2325,2326,2147,2519,2933,3583,24404
31,Hancock,107,101,85,85,85,75,71,73,76,88,846
32,Hardin,35,35,19,22,33,33,30,39,42,51,339
33,Harrison,33,25,14,42,61,42,34,53,61,70,435
34,Henry,42,38,30,37,48,41,47,48,42,36,409
35,Highland,120,101,84,81,114,157,214,231,205,181,1488
36,Hocking,66,58,48,49,64,69,60,62,56,47,579
37,Holmes,40,35,34,31,43,63,43,34,29,32,384
38,Huron,82,44,33,38,30,40,53,45,32,26,423
39,Jackson,71,66,41,45,53,52,45,64,72,60,569
40,Jefferson,131,132,131,120,124,130,115,117,128,112,1240
41,Knox,28,22,26,24,36,28,46,43,114,150,517
42,Lake,118,104,104,109,131,139,124,124,139,152,1244
43,Lawrence,128,130,89,65,59,52,43,62,84,98,810
44,Licking,511,478,481,479,471,511,567,569,551,677,5295
45,Logan,25,15,23,39,42,40,41,48,65,85,423
46,Lorain,178,189,211,236,287,290,275,236,233,234,2369
47,Lucas,1764,1165,858,848,938,1026,972,986,1142,1373,11072
48,Madison,53,53,38,31,38,46,32,26,35,35,387
49,Mahoning,380,394,359,325,315,344,285,289,274,322,3287
50,Marion,82,74,91,80,72,90,88,103,112,126,918
51,Medina,81,82,74,81,91,92,91,108,138,161,999
52,Meigs,45,58,57,57,50,76,66,47,52,53,561
53,Mercer,38,39,50,47,54,54,53,52,65,93,545
54,Miami,140,99,70,75,86,78,82,79,103,64,876
55,Monroe,32,25,17,18,14,9,10,14,23,24,186
56,Montgomery,1273,1410,1268,1203,1147,1156,1131,1034,1033,1072,11727
57,Morgan,15,11,13,10,13,19,19,23,27,24,174
58,Morrow,26,25,19,25,44,44,40,36,39,65,363
59,Muskingum,290,252,138,201,167,164,211,217,226,344,2210
60,Noble,8,20,28,28,19,6,13,20,31,52,225
61,Ottawa,35,38,40,48,36,40,43,46,52,38,416
62,Paulding,25,22,14,18,30,28,30,18,20,12,217
63,Perry,62,68,96,112,120,167,177,131,113,108,1154
64,Pickaway,40,41,37,27,26,37,48,64,68,68,456
65,Pike,61,60,44,42,59,59,63,84,81,88,641
66,Portage,230,225,196,218,220,249,294,328,313,400,2673
67,Preble,138,130,120,155,148,158,152,166,155,149,1471
68,Putnam,12,7,7,5,13,11,8,13,11,19,106
69,Richland,126,102,94,96,106,100,97,135,130,153,1139
70,Ross,178,224,154,205,161,199,212,229,200,241,2003
71,Sandusky,46,39,33,38,35,47,62,79,77,66,522
72,Scioto,182,199,197,225,226,261,240,227,285,378,2420
73,Seneca,97,65,48,35,27,23,20,19,14,17,365
74,Shelby,39,30,22,29,28,27,23,32,44,41,315
75,Stark,1025,918,854,862,741,713,804,717,633,671,7938
76,Summit,1965,1712,1583,1440,1289,1213,1270,1368,1460,1409,14709
77,Trumbull,268,300,280,277,271,245,288,320,266,266,2781
78,Tuscarawas,219,185,188,187,171,168,142,162,169,149,1740
79,Union,92,87,85,90,72,80,69,76,80,69,800
80,Van Wert,7,6,2,14,10,8,9,5,6,12,79
81,Vinton,54,38,37,51,49,64,59,46,60,52,510
82,Warren,139,127,145,161,196,202,205,259,315,353,2102
83,Washington,66,87,76,66,59,68,68,84,112,116,802
84,Wayne,221,217,180,194,239,251,230,214,216,198,2160
85,Williams,60,70,82,78,71,78,71,105,68,56,739
86,Wood,81,67,74,67,66,81,62,74,63,88,723
87,Wyandot,15,14,25,30,22,12,12,9,7,21,167
