County,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018 **,2019 **
Adams,1,1,1,1,0,1,3,5,6,7,10,9,4
Allen,2,1,2,2,4,7,8,6,15,21,31,6,0
Ashland,0,1,0,1,2,0,0,2,2,3,2,3,0
Ashtabula,3,2,3,3,1,3,3,7,9,31,16,11,6
Athens,4,1,3,3,11,3,4,5,5,5,4,5,1
Auglaize,2,3,1,2,3,3,3,1,5,2,6,1,0
Belmont,0,4,2,4,1,5,1,3,6,9,9,8,5
Brown,4,3,1,3,3,2,4,4,16,12,23,23,3
Butler,26,30,42,38,50,39,37,76,133,150,218,142,44
Carroll,0,1,2,0,0,3,1,1,3,2,4,4,0
Champaign,1,0,0,5,5,3,3,3,5,8,14,7,2
Clark,10,9,9,13,22,18,18,18,53,58,86,62,15
Clermont,25,20,11,26,29,19,18,46,72,65,77,64,20
Clinton,0,4,2,0,0,4,4,3,15,11,26,11,2
Columbiana,5,2,0,1,2,3,3,5,6,6,14,8,3
Coshocton,1,2,0,0,0,1,1,1,3,0,3,2,2
Crawford,2,2,1,2,2,1,2,7,8,6,15,11,0
Cuyahoga,53,55,61,55,101,69,73,103,138,422,498,364,91
Darke,1,2,2,1,2,7,1,9,6,16,26,11,4
Defiance,1,0,1,1,4,1,2,3,5,3,2,5,0
Delaware,3,4,6,6,8,8,11,4,6,8,25,24,3
Erie,1,3,4,2,2,3,3,8,15,21,24,21,2
Fairfield,8,3,10,7,6,9,4,2,10,14,31,18,5
Fayette,4,1,3,1,1,1,0,6,11,6,25,7,2
Franklin,62,63,70,108,116,91,72,82,125,196,363,403,92
Fulton,0,1,2,4,1,4,1,5,6,9,3,5,0
Gallia,0,2,1,1,3,0,1,1,5,6,16,13,3
Geauga,1,2,2,3,4,4,4,4,13,20,22,8,9
Greene,0,8,3,6,6,6,5,12,28,34,54,42,10
Guernsey,1,0,2,5,0,3,4,9,5,10,7,5,0
Hamilton,44,48,37,47,53,58,59,125,242,232,363,304,63
Hancock,0,0,3,2,3,1,2,7,9,14,29,17,0
Hardin,2,1,2,5,2,0,4,1,8,5,6,3,3
Harrison,0,0,0,0,2,0,0,1,2,0,4,3,0
Henry,0,0,0,1,0,0,1,1,6,4,3,4,0
Highland,2,1,0,3,2,0,3,2,3,5,10,3,2
Hocking,4,2,0,2,5,1,6,3,2,2,6,7,0
Holmes,1,0,0,0,1,0,1,0,0,1,2,3,0
Huron,4,3,5,4,6,6,12,9,7,12,25,15,2
Jackson,1,3,3,5,6,3,8,5,7,6,7,6,2
Jefferson,1,2,1,2,6,3,4,6,12,9,23,13,3
Knox,3,3,6,4,7,3,5,6,7,6,12,2,2
Lake,12,10,14,25,28,26,20,24,33,81,74,61,20
Lawrence,2,5,6,7,16,8,7,5,19,16,29,19,3
Licking,3,6,6,8,4,5,8,8,8,6,27,15,1
Logan,1,3,2,1,0,3,5,2,6,8,15,6,2
Lorain,4,6,6,5,9,22,31,31,37,105,107,84,27
Lucas,19,27,28,34,25,47,37,76,71,106,116,131,14
Madison,0,3,1,9,0,3,5,3,3,10,13,5,1
Mahoning,11,24,12,28,34,25,24,27,34,56,93,81,21
Marion,4,3,4,7,6,11,12,6,12,15,25,19,4
Medina,6,4,4,5,10,7,4,8,16,33,32,31,3
Meigs,0,0,0,1,3,0,3,3,1,5,3,11,1
Mercer,0,0,2,1,2,0,1,2,2,1,4,0,0
Miami,5,11,4,4,1,1,2,11,5,24,36,25,2
Monroe,0,0,0,0,0,1,0,0,0,0,0,1,0
Montgomery,53,46,32,25,32,18,37,94,130,257,463,244,45
Morgan,1,0,0,0,0,0,2,0,0,1,0,2,0
Morrow,1,1,2,2,2,1,3,5,1,3,7,5,3
Muskingum,2,5,3,1,0,5,3,1,3,2,12,20,6
Noble,0,1,1,0,0,0,0,0,2,1,1,2,0
NonOH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,2,0,3,0,0,1,3,2,4,8,4,8,1
Paulding,0,0,1,1,0,0,0,3,0,0,3,1,0
Perry,1,2,1,1,4,2,0,2,1,2,4,6,0
Pickaway,1,1,5,5,5,4,3,1,3,1,8,12,2
Pike,2,3,4,1,4,1,3,3,5,2,10,10,2
Portage,2,3,3,5,2,3,6,9,19,37,30,26,7
Preble,3,3,1,2,0,1,1,6,8,15,24,9,1
Putnam,0,1,0,1,0,1,2,3,3,2,1,1,0
Richland,3,4,5,7,5,6,4,9,11,47,43,40,16
Ross,9,8,16,13,14,8,6,17,24,31,22,28,9
Sandusky,2,3,1,1,1,2,3,7,9,13,16,14,1
